N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution,alarm_positions
20000,42,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,6,4,2,0.3333333333333333,50,468,297.25,335.5,0.06685725122461182,0.014235001276305436,31,150.0,,444.5,,,850;1044;2668;4250;7421;8258
20000,7,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,6,4,2,0.3333333333333333,63,473,298.75,329.5,0.0666483374670871,0.013446471144023085,30,174.5,,423.0,,,863;1108;2573;4286;7473;8257
20000,123,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,5,4,1,0.2,69,1045,437.25,317.5,0.06792852573199054,0.01760512208655708,30,171.5,,703.0,,,869;1128;2561;4274;8045
20000,42,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,6,4,2,0.3333333333333333,52,455,299.25,345.0,0.06998913886172686,0.013836077040807207,49,158.5,,440.0,,,852;1052;2625;4265;7455;8275
20000,7,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,6,4,2,0.3333333333333333,65,474,296.5,323.5,0.06950169667999574,0.01341463597100568,42,178.5,,414.5,,,865;1116;2555;4292;7474;8262
20000,123,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,5,4,1,0.2,71,1047,439.75,320.5,0.06967173580325348,0.017554512918786385,38,172.5,,707.0,,,871;1134;2567;4274;8047
20000,42,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,6,4,2,0.3333333333333333,55,452,303.0,352.5,0.07430563186826553,0.014040095944671739,68,157.0,,449.0,,,855;1069;2646;4259;7452;8271
20000,7,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,6,4,2,0.3333333333333333,68,475,296.75,322.0,0.07246124682989176,0.013546014787804412,63,182.5,,411.0,,,868;1128;2547;4297;7475;8262
20000,123,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,5,4,1,0.2,74,1052,441.5,320.0,0.07372252723843001,0.01737424149172441,53,177.5,,705.5,,,874;1162;2559;4281;8052
20000,42,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,494,494,494.0,494.0,0.060415929451868536,0.02694534435835994,5,494.0,,,,,1294
20000,7,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,574,574,574.0,574.0,0.06038582252250795,0.024218033646100427,5,574.0,,,,,1374
20000,123,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,595,595,595.0,595.0,0.06054006679320882,0.02008038404829916,5,595.0,,,,,1395
20000,42,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,496,496,496.0,496.0,0.06057867182124055,0.026883548199580096,7,496.0,,,,,1296
20000,7,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,576,576,576.0,576.0,0.06067173955467677,0.024080805069903392,7,576.0,,,,,1376
20000,123,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,597,597,597.0,597.0,0.060763950820045876,0.01996901815086884,7,597.0,,,,,1397
20000,42,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,499,499,499.0,499.0,0.06119956200559814,0.026705405338971182,10,499.0,,,,,1299
20000,7,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,579,579,579.0,579.0,0.06078369901498975,0.024026524422091244,10,579.0,,,,,1379
20000,123,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,600,600,600.0,600.0,0.061116251184764776,0.019850249970710557,10,600.0,,,,,1400
20000,42,0.0,6.0,0.7,300,0.06,5,11,6,0.5454545454545454,8,6,2,0.25,45,1565,555.3333333333334,378.0,0.0674353909445472,0.020098846507290213,44,148.0,1565.0,483.0,,505.0,845;946;2442;4251;6505;7724;8451;16565
20000,7,0.0,6.0,0.7,300,0.06,5,11,5,0.45454545454545453,8,5,3,0.375,49,628,319.8,261.0,0.0718403122773032,0.029117868605366512,42,155.0,628.0,330.5,,,849;948;2435;4261;7426;7844;15628;18022
20000,123,0.0,6.0,0.7,300,0.06,5,11,7,0.6363636363636364,10,7,3,0.3,48,2363,712.5714285714286,493.0,0.06673832657564319,0.020324776697521623,57,140.0,1428.0,518.0,,816.0,848;949;2475;4232;6816;7761;8498;14363;15493;16895
20000,42,0.0,6.0,0.7,300,0.06,7,11,5,0.45454545454545453,7,5,2,0.2857142857142857,47,744,343.4,256.0,0.06913280323793196,0.03115951439068298,57,151.5,744.0,335.0,,,847;960;2452;4256;7418;7881;15744
20000,7,0.0,6.0,0.7,300,0.06,7,11,5,0.45454545454545453,8,5,3,0.375,51,633,321.0,263.0,0.07680230012203483,0.029518364743699527,74,157.0,633.0,329.0,,,851;953;2432;4263;7426;7846;15633;18174
20000,123,0.0,6.0,0.7,300,0.06,7,11,7,0.6363636363636364,10,7,3,0.3,50,2752,765.5714285714286,461.0,0.07194756710764187,0.020846892464796322,93,141.0,1606.5,512.0,,840.0,850;960;2493;4232;6840;7731;8428;14752;15461;16792
20000,42,0.0,6.0,0.7,300,0.06,10,11,5,0.45454545454545453,7,5,2,0.2857142857142857,50,774,345.8,259.0,0.07542006294552475,0.03047829203502862,77,154.5,774.0,323.0,,,850;972;2418;4259;7428;7896;15774
20000,7,0.0,6.0,0.7,300,0.06,10,11,5,0.45454545454545453,8,5,3,0.375,54,659,331.8,267.0,0.08044898782523151,0.02893616772060631,87,160.5,659.0,339.5,,,854;957;2441;4267;7438;7875;15659;18555
20000,123,0.0,6.0,0.7,300,0.06,10,11,7,0.6363636363636364,10,7,3,0.3,53,2502,731.0,483.0,0.07994611813157754,0.02089568224203571,102,143.5,1492.5,499.0,,847.0,853;980;2454;4234;6847;7744;8461;14502;15483;16865
20000,42,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,395,2048,1221.5,1221.5,0.06058472747276816,0.027574107461226755,10,395.0,2048.0,,,,1195;17048
20000,7,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,411,1617,1014.0,1014.0,0.060984460985162664,0.02815481315617379,10,411.0,1617.0,,,,1211;16617
20000,123,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,432,2617,1524.5,1524.5,0.0607446534441003,0.02624295418704402,10,432.0,2617.0,,,,1232;17617
20000,42,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,397,2075,1236.0,1236.0,0.06084413945874965,0.027533899025310546,14,397.0,2075.0,,,,1197;17075
20000,7,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,413,1669,1041.0,1041.0,0.06153170334745216,0.028117610417061352,14,413.0,1669.0,,,,1213;16669
20000,123,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,434,2672,1553.0,1553.0,0.061297416635691285,0.026242159679570456,14,434.0,2672.0,,,,1234;17672
20000,42,0.0,6.0,1.0,300,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,400,2103,1251.5,1251.5,0.061115086833995955,0.02745076665469817,20,400.0,2103.0,,,,1200;17103
20000,7,0.0,6.0,1.0,300,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,416,1731,1073.5,1073.5,0.06208668799329787,0.028031325371652052,20,416.0,1731.0,,,,1216;16731
20000,123,0.0,6.0,1.0,300,0.06,10,11,2,0.18181818181818182,2,2,0,0.0,437,2729,1583.0,1583.0,0.06187857071495437,0.02621122902665171,20,437.0,2729.0,,,,1237;17729
20000,42,0.0,3.0,0.7,400,0.06,5,11,4,0.36363636363636365,5,4,1,0.2,73,456,275.0,285.5,0.06617029307550372,0.015382085499687842,28,190.0,,360.0,,,873;2464;4307;7456;8275
20000,7,0.0,3.0,0.7,400,0.06,5,11,4,0.36363636363636365,6,4,2,0.3333333333333333,59,477,305.5,343.0,0.06676600384702426,0.013190609480709789,31,169.5,,441.5,,,859;1061;2606;4280;7477;8264
20000,123,0.0,3.0,0.7,400,0.06,5,11,4,0.36363636363636365,5,4,1,0.2,96,647,350.5,329.5,0.0643052736676205,0.01534972961625373,26,180.5,,520.5,,,896;2594;4265;7647;8726
20000,42,0.0,3.0,0.7,400,0.06,7,11,4,0.36363636363636365,6,4,2,0.3333333333333333,75,461,285.25,302.5,0.06617029307550372,0.01422978085416867,42,184.5,,386.0,,,875;1213;2511;4294;7461;8284
20000,7,0.0,3.0,0.7,400,0.06,7,11,4,0.36363636363636365,6,4,2,0.3333333333333333,61,476,298.25,328.0,0.06929375024385892,0.01325682911377155,54,175.0,,421.5,,,861;1097;2567;4289;7476;8262
20000,123,0.0,3.0,0.7,400,0.06,7,11,4,0.36363636363636365,5,4,1,0.2,98,649,354.5,335.5,0.06661229112342276,0.015386517945018914,46,181.5,,527.5,,,898;2606;4265;7649;8773
20000,42,0.0,3.0,0.7,400,0.06,10,11,4,0.36363636363636365,5,4,1,0.2,78,461,279.25,289.0,0.06786963177642721,0.0152567276089781,50,193.5,,365.0,,,878;2469;4309;7461;8287
20000,7,0.0,3.0,0.7,400,0.06,10,11,4,0.36363636363636365,6,4,2,0.3333333333333333,64,477,298.25,326.0,0.07415181635556002,0.013363995797673093,61,179.0,,417.5,,,864;1116;2558;4294;7477;8269
20000,123,0.0,3.0,0.7,400,0.06,10,11,4,0.36363636363636365,5,4,1,0.2,101,649,360.0,345.0,0.06972571299543634,0.015350360366520018,63,181.0,,539.0,,,901;2629;4261;7649;8776
20000,42,0.0,3.0,1.0,400,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,619,619,619.0,619.0,0.060493028974883276,0.020571004596100565,5,619.0,,,,,1419
20000,7,0.0,3.0,1.0,400,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,572,572,572.0,572.0,0.06047959891465408,0.02438318327462473,5,572.0,,,,,1372
20000,123,0.0,3.0,1.0,400,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,6,6,6.0,6.0,0.06047447948157488,0.016482639799574726,5,,6.0,,,,1506
20000,42,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,621,621,621.0,621.0,0.060772981850054024,0.020456810085364343,7,621.0,,,,,1421
20000,7,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,574,574,574.0,574.0,0.06064368042405859,0.024346408275328284,7,574.0,,,,,1374
20000,123,0.0,3.0,1.0,400,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,8,8,8.0,8.0,0.06061637112606919,0.01654217457782249,7,,8.0,,,,1508
20000,42,0.0,3.0,1.0,400,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,624,624,624.0,624.0,0.061045686352282684,0.020288898813249745,10,624.0,,,,,1424
20000,7,0.0,3.0,1.0,400,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,577,577,577.0,577.0,0.06093023794265153,0.024290975167386302,10,577.0,,,,,1377
20000,123,0.0,3.0,1.0,400,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,11,11,11.0,11.0,0.06061637112606919,0.016509485096715695,10,,11.0,,,,1511
20000,42,0.0,6.0,0.7,400,0.06,5,11,6,0.5454545454545454,8,6,2,0.25,52,1565,551.3333333333334,378.0,0.07069647069503711,0.020365055271427998,50,152.0,1565.0,467.5,,504.0,852;971;2415;4252;6504;7720;8438;16565
20000,7,0.0,6.0,0.7,400,0.06,5,11,5,0.45454545454545453,8,5,3,0.375,47,640,326.6,266.0,0.06727585877338277,0.028668455729490262,50,156.5,640.0,340.0,,,847;945;2446;4266;7434;7855;15640;18201
20000,123,0.0,6.0,0.7,400,0.06,5,11,7,0.6363636363636364,10,7,3,0.3,57,2126,674.0,502.0,0.066947029252197,0.02057534568901171,61,143.0,1314.0,509.0,,786.0,857;981;2448;4229;6786;7770;8602;14126;15502;16946
20000,42,0.0,6.0,0.7,400,0.06,7,11,5,0.45454545454545453,7,5,2,0.2857142857142857,54,744,336.0,256.0,0.07661730952353807,0.03185681238620395,50,155.0,744.0,313.0,,,854;977;2408;4256;7418;7881;15744
20000,7,0.0,6.0,0.7,400,0.06,7,11,5,0.45454545454545453,8,5,3,0.375,49,633,319.6,262.0,0.07296851395204938,0.0295608416414897,76,155.5,633.0,327.0,,,849;950;2428;4262;7426;7846;15633;18174
20000,123,0.0,6.0,0.7,400,0.06,7,11,7,0.6363636363636364,10,7,3,0.3,59,2958,786.7142857142857,449.0,0.07103601034317539,0.02227923310591147,82,146.0,1703.5,482.0,,844.0,859;986;2435;4233;6844;7729;8421;14958;15449;16711
20000,42,0.0,6.0,0.7,400,0.06,10,11,5,0.45454545454545453,7,5,2,0.2857142857142857,57,782,346.0,268.0,0.08512056563090575,0.030536482251881783,78,162.5,782.0,311.5,,,857;1003;2387;4268;7436;7899;15782
20000,7,0.0,6.0,0.7,400,0.06,10,11,5,0.45454545454545453,8,5,3,0.375,52,657,332.4,271.0,0.07919405026007283,0.028959747065109228,91,161.5,657.0,341.0,,,852;956;2443;4271;7439;7871;15657;18549
20000,123,0.0,6.0,0.7,400,0.06,10,11,7,0.6363636363636364,10,7,3,0.3,62,2502,731.0,483.0,0.07398778056983299,0.02119939167744728,101,148.0,1492.5,494.5,,847.0,862;991;2445;4234;6847;7744;8461;14502;15483;16865
